ID,elat,elon
101773,10.68,274.12
101774,-26.16,238.68
101775,-18.6,233.99
101776,-42.8,355.79
101777,13.06,146.34
101779,-22.5,257.58
101780,17.76,166.62
101781,-50.67,0.1
101783,-16.4,162.34
101784,-21.98,259.88
101785,-11.75,170.68
101786,20.43,167.36
101787,13.54,178.21
101788,35.97,297.51
101789,20.81,301.92
101790,35.82,298.3
101791,-9.27,152.8
101792,28.6,271.98
101793,14.47,163.08
101794,-15.96,224.35
101795,-22.68,264.64
101796,34.24,221.29
101797,17.63,150.79
101798,48.07,163.72
101799,52.38,173.42
101800,42.15,145.7
101801,44.1,164.13
101802,49.12,183.09
101803,53.34,203.58
101804,37.34,176.77
101805,40.82,198.56
101806,-34.27,73.44
101807,-38.93,59.94
101808,-39.64,46.12
101809,-31.84,84.14
101810,-38.1,11.22
101811,52.06,178.14
101812,-41.69,24.43
101813,2.63,83.8
101814,-17.69,43.11
101815,-51.47,284.77
101816,-27.16,249.88
101817,-11.99,163.14
101818,36.01,312.54
101819,29.05,264.9
101820,-9.84,181.81
101821,-19.06,333.58
101823,-62.89,307.85
101824,38.29,230.41
101825,20.9,203.18
101826,31.73,281.98
101828,-17.37,164.51
101829,22.6,175.39
101830,26.6,271.47
101831,23.74,286.22
101833,0.27,92.22
101834,-13.36,325.02
101835,31.35,287.12
101836,11.13,162.66
101838,41.28,164.6
101839,52.67,171.71
101840,-63.62,132.54
101841,49.59,190.62
101842,51.96,168.08
101843,25.19,125.11
101844,-22.25,340.26
101846,-13.68,214.77
101847,-11.37,223.59
101848,2.57,252.98
101849,-7.56,156.14
101850,-11.17,222.02
101851,-4.99,154.58
101852,-18.11,222.49
101853,24.87,142.87
101854,7.16,279.16
101855,-0.72,258.42
101856,-29.78,346.21
101857,8.44,207.62
101859,-23.13,208.92
101860,-14.2,239.37
101861,-21.91,229.61
101862,-11.31,225.54
101863,-13.17,222.5
101864,-24.38,233.56
101865,-15.21,212.73
101866,-14.65,217.0
101867,-54.87,326.84
101868,-10.87,152.97
101869,-18.42,242.49
101870,-51.06,326.75
101871,-14.88,240.59
101872,-25.2,272.02
101873,-30.72,248.48
101874,11.96,195.5
101875,-22.0,241.66
101876,-31.22,183.58
101877,-25.7,171.93
101878,-20.89,269.57
101879,-14.34,189.39
101880,23.47,213.09
101881,25.67,191.85
101882,26.26,200.75
101883,-17.84,179.36
101884,-13.71,126.31
101885,-23.34,269.15
101898,-62.68,309.36
101899,0.89,313.89
101900,-61.25,307.36
101901,8.15,173.87
101902,-10.63,165.93
101903,-23.64,235.08
101905,26.48,199.24
101907,42.23,318.29
101908,34.97,287.24
101909,-16.42,198.49
101910,26.67,268.16
101911,-23.7,193.41
101912,36.45,299.48
101913,-9.56,161.57
101914,-13.75,129.71
101915,-11.53,156.59
101916,26.47,227.52
101917,-16.32,138.33
101918,-13.59,127.45
101919,-25.77,159.5
101920,-40.05,163.12
101921,-31.39,170.59
101923,9.65,243.8
101924,-35.45,177.26
101925,-25.79,158.37
101926,-47.98,344.72
101927,24.3,159.76
101928,-39.74,43.93
101929,31.09,174.96
101930,14.2,174.24
101931,32.43,177.24
101932,35.41,164.68
101933,38.95,170.6
101934,41.69,156.41
101937,23.53,150.89
101938,-25.0,1.25
101939,-34.65,24.43
101940,22.76,158.88
101942,-51.56,62.8
101943,15.5,168.73
101945,-30.04,359.13
101946,18.44,291.56
101947,34.8,201.12
101949,-58.75,316.76
101950,-34.1,18.59
101951,25.1,150.49
101952,-22.28,236.32
101953,-26.14,228.23
101954,-62.0,306.17
101955,31.8,187.8
101956,-62.08,306.6
101957,-13.28,265.21
101958,-16.31,249.36
101960,36.21,298.52
101961,32.04,299.63
101963,-22.31,258.48
101964,-24.2,191.7
101966,30.84,288.06
101967,36.02,297.81
101968,22.91,263.35
101969,-16.23,333.54
101970,25.47,281.89
101971,34.32,295.32
101972,-14.77,181.46
101973,38.56,294.39
101974,11.81,155.88
101975,34.61,298.62
101977,-3.87,164.8
101979,-53.13,334.76
101980,15.65,209.26
101981,-7.22,174.52
101982,-23.31,266.3
101983,-57.11,323.27
101984,-18.23,190.43
101985,-61.07,306.09
101986,-6.41,325.17
101987,28.65,293.66
101988,39.67,310.48
101989,37.95,291.48
101990,41.8,318.05
101991,33.54,284.81
101992,-11.6,175.48
101993,25.66,290.35
101994,-18.34,239.96
101995,35.73,185.58
101997,23.01,267.15
101998,28.35,267.02
102001,18.55,177.3
102002,17.57,158.12
102004,39.49,306.73
10206,10.95,61.88
10207,9.42,71.27
10208,6.03,73.29
102533,-23.73,221.36
102535,-22.22,232.33
102536,-19.85,233.57
102537,-25.29,240.87
102539,29.86,271.2
102541,26.25,279.93
102542,24.46,278.54
102543,24.8,262.46
102545,3.46,182.22
102546,9.14,191.09
102548,28.61,264.82
102549,22.87,276.44
102550,24.43,278.11
102552,29.86,270.81
102553,55.3,352.52
102554,31.9,289.44
102555,32.19,287.21
102556,36.08,291.85
102557,49.59,357.48
102558,33.38,284.68
102559,-6.01,178.91
102560,-7.68,230.49
102561,-13.6,218.41
102562,-12.6,155.03
102563,5.31,191.06
102565,23.02,276.74
102566,23.01,276.71
102567,24.54,278.12
102568,22.19,282.28
102570,19.11,291.33
102571,22.1,294.08
102572,24.93,293.41
102577,18.5,293.82
102578,34.37,297.53
102579,50.47,330.73
102580,-12.71,260.55
102581,-12.94,259.98
102582,-20.86,237.5
102583,-23.89,236.4
102584,-20.12,269.17
102585,-19.17,266.19
102586,-19.44,210.38
102587,17.46,272.21
102588,17.42,272.2
102589,18.04,272.14
102590,17.87,272.06
102591,16.34,272.89
102592,19.08,278.73
102593,17.26,272.49
102594,46.94,347.82
102595,33.21,283.73
102596,21.0,273.28
102597,-17.07,228.18
102599,-3.57,326.77
102600,2.03,311.61
102601,4.36,313.34
102602,6.43,325.11
102603,-12.62,322.17
102606,-10.57,324.7
102609,8.74,323.41
102610,12.49,330.99
102611,7.15,315.81
102612,-0.18,315.68
102613,-3.36,321.85
102618,8.9,322.62
102624,10.77,324.76
102625,2.43,327.13
102626,-6.39,325.22
10300840,-10.45,77.42
10300940,1.34,89.47
10301940,-30.3,53.05
10302880,-48.08,72.8
10302890,-33.24,51.58
10302940,-35.56,112.88
10303890,-4.62,73.06
10303940,-45.19,103.33
10303980,68.39,350.3
10304880,-4.66,47.27
10304890,-43.77,128.28
10306850,-14.85,52.97
10306870,-39.18,81.83
10306880,-45.08,98.02
10306940,-37.06,66.3
10307870,-41.85,91.06
10307930,-39.79,106.28
10308830,-14.69,40.84
10308870,-36.14,95.05
10308880,-48.01,144.37
10309870,-44.39,92.03
10309880,-41.97,113.43
103795,52.2,349.44
103796,52.3,350.07
103797,52.87,350.48
103798,42.79,348.34
103799,51.46,350.69
103800,52.29,349.77
103801,40.14,343.33
103802,55.86,353.55
103803,53.77,343.81
10401010,-32.99,111.22
10406020,-16.6,54.53
10409000,1.65,44.68
104097,-16.43,321.48
104099,-18.76,323.81
104100,-20.07,322.0
104101,-15.26,323.04
104102,-15.83,321.59
104103,-4.8,324.17
104104,-2.63,320.51
104105,-26.35,316.44
104106,-26.31,315.91
104107,-25.41,316.55
104108,-28.53,320.61
104109,-8.88,358.35
104110,-1.95,315.6
104111,-2.41,317.07
104112,-19.87,321.83
104113,-10.42,343.9
104114,-3.94,321.84
104115,-1.92,316.01
104117,48.78,200.72
104120,53.74,218.15
104121,-8.11,332.89
104122,52.46,231.21
104123,54.89,226.95
104124,-4.51,2.42
104125,60.38,212.39
104126,52.87,191.07
104127,31.26,332.63
104128,49.54,206.73
104129,52.52,198.48
104130,33.72,335.51
104131,31.68,329.33
104132,28.55,327.04
104133,-4.84,323.38
104134,-4.85,323.8
104136,-9.56,324.75
104137,-4.88,323.61
104138,28.85,296.07
104141,-10.04,342.34
104142,-6.21,325.36
104145,-11.84,322.45
104146,-9.41,324.76
104147,-7.8,1.26
104148,-7.69,325.55
104151,-6.43,325.22
10421120,-47.06,139.85
10422110,-18.19,63.4
10423110,-33.0,111.22
10425090,-47.22,128.54
10429110,-45.22,114.56
105410,32.95,288.03
105412,21.66,288.58
105413,31.44,287.99
105414,24.92,297.77
105415,23.65,285.25
10547,18.82,201.24
10607,-20.91,245.23
106209,24.83,279.37
106210,29.69,270.8
106213,29.83,270.79
106219,39.45,322.58
106220,39.52,315.75
106221,40.81,309.22
106222,37.83,305.47
106223,28.02,347.12
10636,-16.61,168.25
106519,-14.76,355.93
106520,-14.93,354.31
106521,-9.82,349.77
106522,-19.94,353.92
106523,-19.64,0.72
106525,-2.54,332.01
106526,-1.58,332.61
106527,-2.18,318.82
106528,-0.06,313.14
106539,24.06,324.36
106540,18.61,322.77
106542,19.32,325.55
106543,17.16,271.96
106544,17.72,272.0
106545,17.91,272.1
106546,20.57,272.86
106548,22.69,319.5
106549,20.37,272.75
106550,16.49,272.13
106551,20.39,272.74
106552,16.84,271.94
106554,19.85,337.07
106555,22.97,329.23
106556,1.79,331.5
107568,40.79,315.29
107569,33.87,209.28
107570,41.69,307.98
107571,28.29,166.49
107572,31.58,299.37
107573,33.03,299.43
107574,27.5,286.21
107575,26.53,283.14
107576,23.09,287.36
107577,36.62,309.74
107578,10.73,108.97
107579,22.1,138.08
107580,18.75,120.79
107581,19.3,124.24
107582,18.98,127.94
107583,23.47,146.76
107584,22.57,133.18
107585,11.14,109.53
107586,57.12,181.82
107587,22.43,127.04
107588,33.65,305.19
107591,38.85,1.31
107592,39.37,8.37
107593,32.13,283.6
107594,41.69,305.59
107595,35.86,288.09
107596,14.13,135.69
107597,3.62,120.62
107598,30.99,131.02
107599,13.49,124.72
107600,31.46,218.01
107601,29.25,129.36
107602,30.06,153.63
107603,18.32,114.04
107604,35.22,184.2
107605,15.35,109.15
107606,19.31,108.24
107607,15.09,124.04
107608,18.9,121.77
107609,11.98,125.89
107610,12.18,125.74
107611,34.66,129.39
107612,20.37,121.81
107613,28.98,131.7
107614,33.65,193.52
107615,31.42,131.36
107616,15.42,121.53
107617,15.48,109.08
107618,13.23,127.42
107619,24.89,125.31
107620,13.65,124.48
107621,57.88,322.07
107622,54.53,341.46
107623,59.7,326.36
107624,43.38,347.71
107625,61.09,320.03
107626,47.53,342.3
107627,41.13,327.52
107628,49.03,332.83
107629,48.65,352.09
107630,44.31,335.61
107631,-5.34,154.72
107632,-4.94,154.48
107633,-6.8,155.4
107634,8.57,127.46
107635,8.89,170.84
107636,59.36,343.69
107637,50.99,347.0
107638,63.73,0.27
107639,32.97,286.65
107640,37.62,329.2
107641,5.23,162.98
107642,9.91,148.12
107643,28.21,166.04
107644,21.63,121.4
107645,34.16,134.81
107646,35.47,297.04
107647,26.97,289.11
107648,30.68,284.36
107649,-15.12,321.06
107650,-6.07,325.11
107651,8.7,127.14
107652,13.08,220.12
107653,10.3,273.93
107654,-7.77,222.07
107655,-13.21,172.89
107656,-9.9,222.68
107659,-24.37,231.7
107660,-11.83,215.32
107661,-15.51,214.59
107662,-19.6,236.51
107664,-7.61,229.1
107665,-11.05,211.09
107666,-16.78,215.73
107667,-21.65,183.34
10822640,63.77,343.26
10841,35.44,129.43
109002,28.95,270.93
109003,32.22,280.92
109004,29.18,269.38
109006,30.03,272.64
109008,30.02,272.92
109012,29.81,273.34
109022,23.15,269.88
109023,16.66,272.22
109024,19.96,272.58
109025,16.63,272.27
109026,17.43,272.21
109027,34.76,303.83
109028,22.98,279.86
109029,29.32,268.29
109031,32.56,290.89
109037,26.72,275.0
109038,24.43,277.08
109039,24.1,264.85
109040,27.63,274.31
109041,28.0,272.53
109042,38.29,291.97
109043,28.71,272.88
109044,29.69,272.26
109045,27.97,273.21
109046,28.08,267.76
109047,22.99,280.11
109049,23.01,280.02
109050,23.0,280.04
109054,27.48,262.76
109055,23.0,280.03
109057,27.46,267.39
109059,22.98,280.05
109062,29.54,267.5
109063,29.05,273.13
109064,42.26,344.07
109065,29.74,271.17
109066,29.22,272.8
109067,18.9,294.79
109068,9.18,314.55
109069,8.76,319.6
109071,19.61,294.39
109175,17.04,82.48
109177,27.06,244.57
109178,27.92,235.95
109179,26.19,239.63
109180,26.7,243.71
109181,28.49,234.94
109182,28.13,236.59
109183,24.36,235.17
109184,15.6,213.29
109185,24.55,127.68
109186,24.99,229.82
109187,19.88,122.28
109188,27.16,235.19
109189,15.67,219.71
109190,16.85,237.16
109191,27.38,235.45
109192,27.21,243.95
109195,25.78,241.33
109196,24.57,239.29
109197,-59.55,115.07
109198,-54.6,113.96
109199,-57.24,87.01
109201,-5.47,39.69
109202,-62.09,142.0
109203,-60.72,127.96
109204,5.54,92.9
109205,-1.34,41.8
109206,-58.13,89.85
109207,-37.31,23.54
109208,-54.65,126.68
109211,-42.85,13.87
109213,-47.31,24.58
109214,-49.72,13.8
109216,-58.56,337.22
109218,-55.17,38.63
109221,31.12,326.2
109235,37.9,308.21
109238,19.61,140.12
109239,19.02,126.27
109240,33.06,132.37
109241,18.91,122.01
109242,34.76,129.73
109243,23.61,123.89
109244,34.65,137.42
109245,-27.85,102.86
109246,51.87,224.13
109247,15.01,122.47
109248,10.53,128.89
109249,53.47,225.84
109250,56.06,225.95
109251,-27.2,98.29
109252,-24.7,105.39
109253,-30.09,112.23
109254,57.32,209.4
109255,-26.11,109.37
109256,-26.2,104.49
109267,-47.18,21.36
109268,-51.65,64.97
109270,-21.33,103.07
109271,16.03,127.28
109275,-46.19,73.39
109277,-53.94,69.84
109278,-50.53,46.31
109279,-24.77,53.57
109280,-38.06,11.19
109282,-13.03,83.53
109286,-41.11,91.38
109287,-1.79,41.53
109288,-10.72,77.69
109290,1.78,44.9
109291,-11.8,43.1
109292,-47.98,45.49
109298,-29.89,14.44
109299,29.82,243.46
109303,23.83,124.73
109306,-5.59,91.98
109310,12.64,124.37
109312,89.51,295.92
109314,72.85,167.13
109316,30.32,241.79
109318,26.61,239.85
109320,86.38,3.44
109324,73.23,186.78
109325,19.27,128.89
109326,28.24,239.78
109327,17.8,123.11
109328,69.04,181.47
109329,7.04,134.4
109330,15.36,129.99
109331,-19.96,104.28
109332,6.26,122.25
109336,71.16,186.46
109337,29.74,241.29
109341,69.99,175.48
109342,8.55,107.17
109343,18.94,130.92
109344,8.56,128.86
109361,-16.69,39.48
109363,-12.28,61.25
109364,-14.51,93.77
109365,-12.52,40.62
109366,21.86,123.69
109367,17.45,122.33
109368,21.86,117.33
109370,21.24,117.71
109371,-36.29,25.38
109372,-23.71,35.55
109373,0.88,43.75
109374,-11.25,43.68
109375,-5.5,39.71
109376,12.28,109.35
109377,5.66,48.75
109378,1.03,43.95
109379,-5.15,39.88
109380,1.58,44.6
109381,-28.04,70.08
109382,3.48,72.81
109392,50.49,226.79
109402,5.7,80.28
109403,-9.32,79.39
109404,4.49,77.1
109405,49.65,221.84
109406,42.5,181.87
109407,51.5,165.06
109408,59.46,209.77
109409,53.17,214.24
109410,54.76,212.46
109411,-30.26,109.03
109412,-24.96,104.5
109413,58.67,208.51
109414,18.04,122.59
109416,55.83,203.92
109417,18.84,106.78
109418,8.9,127.31
109419,10.0,126.63
109420,49.5,226.08
109421,46.83,189.57
109422,48.98,232.57
109423,-30.13,109.51
109424,63.31,191.85
109425,-19.54,108.21
109426,51.78,202.79
109427,60.02,212.77
109428,63.87,191.4
109430,54.57,163.74
109431,44.67,171.32
109432,51.83,178.26
109433,56.51,205.85
109434,56.08,211.72
109435,51.62,189.38
109436,54.09,194.58
109437,36.05,301.55
109438,27.81,322.86
109439,29.2,302.62
109451,29.22,310.6
109456,6.24,349.24
109457,-12.98,328.6
109458,-12.7,321.94
109459,12.27,305.05
109460,-11.37,337.86
109461,-17.81,155.23
109463,27.99,191.65
109464,18.36,148.42
109465,11.43,125.64
109467,13.47,109.36
109468,10.51,126.09
109469,17.49,122.33
109470,14.15,124.52
109471,33.28,240.5
109472,-2.37,142.92
109473,-11.64,153.62
109474,-10.79,162.47
109475,-11.1,152.33
109476,39.52,1.98
109479,39.93,0.04
109480,36.99,7.61
109488,38.34,320.81
109491,26.96,304.27
109492,2.22,82.14
109493,-1.96,41.37
109494,70.88,184.3
109495,71.06,206.23
109496,66.93,186.96
109497,69.04,185.34
109498,71.63,195.21
109499,69.53,187.96
109511,14.68,123.36
109512,14.34,122.92
109513,37.05,129.44
109514,9.61,126.44
109515,-17.9,165.97
109516,11.55,125.55
109517,14.87,122.53
109518,19.05,237.24
109519,8.76,81.3
109521,71.59,192.17
109522,71.05,195.32
109523,57.53,204.37
109524,-14.53,174.11
109530,61.98,193.96
